Time(min)	Fluorescence
326.846847	265.351277
327.207207	265.513883
327.567568	265.676253
327.927928	265.838387
328.288288	266.000285
328.648649	266.161949
329.009009	266.323377
329.369369	266.484572
329.729730	266.645532
330.090090	266.806258
330.450450	266.966751
330.810811	267.127011
331.171171	267.287039
331.531532	267.446834
331.891892	267.606396
332.252252	267.765728
332.612613	267.924827
332.972973	268.083696
333.333333	268.242334
333.693694	268.400742
334.054054	268.558920
334.414414	268.716868
334.774775	268.874587
335.135135	269.032077
335.495495	269.189339
335.855856	269.346372
336.216216	269.503177
336.576577	269.659754
336.936937	269.816105
337.297297	269.972228
337.657658	270.128125
338.018018	270.283796
338.378378	270.439240
338.738739	270.594459
339.099099	270.749453
339.459459	270.904223
339.819820	271.058767
340.180180	271.213087
340.540541	271.367769
340.900901	271.522550
341.261261	271.677127
341.621622	271.831498
341.981982	271.985665
342.342342	272.139628
342.702703	272.293387
343.063063	272.446944
343.423423	272.600298
343.783784	272.753450
344.144144	272.906400
344.504505	273.059149
344.864865	273.211697
345.225225	273.364045
345.585586	273.516193
345.945946	273.668142
346.306306	273.819891
346.666667	273.971443
347.027027	274.122796
347.387387	274.273952
347.747748	274.424911
348.108108	274.575673
348.468468	274.726239
348.828829	274.876609
349.189189	275.026784
349.549550	275.176764
349.909910	275.326550
350.270270	275.476142
350.630631	275.625541
350.990991	275.774747
351.351351	275.923760
351.711712	276.072581
352.072072	276.221210
352.432432	276.369649
352.792793	276.517897
353.153153	276.665954
353.513514	276.813822
353.873874	276.961501
354.234234	277.108990
354.594595	277.256291
354.954955	277.403405
355.315315	277.550331
355.675676	277.697070
356.036036	277.843622
356.396396	277.989988
356.756757	278.136169
357.117117	278.282165
357.477477	278.427975
357.837838	278.573602
358.198198	278.719045
358.558559	278.864304
358.918919	279.009381
359.279279	279.154275
359.639640	279.298987
360.000000	279.443517
